camera,timestamp,x,y,zone
CAM 1,0.16683333333333333,872,848,Entrance
CAM 1,0.16683333333333333,881,835,Entrance
CAM 1,0.16683333333333333,968,784,Entrance
CAM 1,0.16683333333333333,777,777,Entrance
CAM 1,0.16683333333333333,963,652,Entrance
CAM 1,0.16683333333333333,805,605,Entrance
CAM 1,0.16683333333333333,856,532,Entrance
CAM 1,0.16683333333333333,943,524,Entrance
CAM 1,0.33366666666666667,919,789,Entrance
CAM 1,0.33366666666666667,815,714,Entrance
CAM 1,0.33366666666666667,967,588,Entrance
CAM 1,0.33366666666666667,1833,82,Entrance
CAM 1,0.5005000000000001,815,714,Entrance
CAM 1,0.5005000000000001,933,679,Entrance
CAM 1,0.5005000000000001,1549,386,Entrance
CAM 1,0.5005000000000001,1903,383,Entrance
CAM 1,0.5005000000000001,1833,82,Entrance
CAM 1,0.6673333333333333,818,712,Entrance
CAM 1,0.6673333333333333,936,677,Entrance
CAM 1,0.6673333333333333,1554,386,Entrance
CAM 1,0.6673333333333333,1900,380,Entrance
CAM 1,0.6673333333333333,1833,82,Entrance
CAM 1,0.8341666666666667,1739,1036,Entrance
CAM 1,0.8341666666666667,721,1039,Entrance
CAM 1,0.8341666666666667,722,915,Entrance
CAM 1,0.8341666666666667,819,711,Entrance
CAM 1,0.8341666666666667,937,676,Entrance
CAM 1,0.8341666666666667,1892,378,Entrance
CAM 1,0.8341666666666667,1833,82,Entrance
CAM 1,1.0010000000000001,1716,1050,Entrance
CAM 1,1.0010000000000001,152,1032,Entrance
CAM 1,1.0010000000000001,511,1034,Entrance
CAM 1,1.0010000000000001,191,890,Entrance
CAM 1,1.0010000000000001,612,912,Entrance
CAM 1,1.0010000000000001,1171,698,Entrance
CAM 1,1.0010000000000001,144,696,Entrance
CAM 1,1.0010000000000001,167,575,Entrance
CAM 1,1.0010000000000001,821,710,Entrance
CAM 1,1.0010000000000001,938,677,Entrance
CAM 1,1.0010000000000001,1552,387,Entrance
CAM 1,1.0010000000000001,1839,366,Entrance
CAM 1,1.0010000000000001,1909,369,Entrance
CAM 1,1.0010000000000001,1289,360,Entrance
CAM 1,1.0010000000000001,1883,375,Entrance
CAM 1,1.0010000000000001,1476,363,Entrance
CAM 1,1.0010000000000001,1833,82,Entrance
CAM 1,1.1678333333333333,1716,1050,Entrance
CAM 1,1.1678333333333333,463,1032,Entrance
CAM 1,1.1678333333333333,192,889,Entrance
CAM 1,1.1678333333333333,525,906,Entrance
CAM 1,1.1678333333333333,527,703,Entrance
CAM 1,1.1678333333333333,567,697,Entrance
CAM 1,1.1678333333333333,1084,693,Entrance
CAM 1,1.1678333333333333,651,693,Entrance
CAM 1,1.1678333333333333,254,690,Entrance
CAM 1,1.1678333333333333,154,695,Entrance
CAM 1,1.1678333333333333,1181,694,Entrance
CAM 1,1.1678333333333333,1866,684,Entrance
CAM 1,1.1678333333333333,641,577,Entrance
CAM 1,1.1678333333333333,676,560,Entrance
CAM 1,1.1678333333333333,182,566,Entrance
CAM 1,1.1678333333333333,1610,530,Entrance
CAM 1,1.1678333333333333,898,703,Entrance
CAM 1,1.1678333333333333,1615,370,Entrance
CAM 1,1.1678333333333333,1073,371,Entrance
CAM 1,1.1678333333333333,501,371,Entrance
CAM 1,1.1678333333333333,669,356,Entrance
CAM 1,1.1678333333333333,1807,362,Entrance
CAM 1,1.1678333333333333,1902,376,Entrance
CAM 1,1.1678333333333333,1255,358,Entrance
CAM 1,1.1678333333333333,1868,370,Entrance
CAM 1,1.1678333333333333,1479,368,Entrance
CAM 1,1.1678333333333333,1529,305,Entrance
CAM 1,1.1678333333333333,1404,240,Entrance
CAM 1,1.1678333333333333,1312,238,Entrance
CAM 1,1.1678333333333333,1208,227,Entrance
CAM 1,1.1678333333333333,1834,85,Entrance
CAM 1,1.1678333333333333,1184,8,Entrance
CAM 1,1.3346666666666667,1732,1039,Entrance
CAM 1,1.3346666666666667,457,1027,Entrance
CAM 1,1.3346666666666667,975,902,Entrance
CAM 1,1.3346666666666667,469,900,Entrance
CAM 1,1.3346666666666667,535,699,Entrance
CAM 1,1.3346666666666667,670,692,Entrance
CAM 1,1.3346666666666667,1878,684,Entrance
CAM 1,1.3346666666666667,194,691,Entrance
CAM 1,1.3346666666666667,1167,692,Entrance
CAM 1,1.3346666666666667,585,573,Entrance
CAM 1,1.3346666666666667,1268,562,Entrance
CAM 1,1.3346666666666667,657,565,Entrance
CAM 1,1.3346666666666667,1893,546,Entrance
CAM 1,1.3346666666666667,205,555,Entrance
CAM 1,1.3346666666666667,1591,542,Entrance
CAM 1,1.3346666666666667,906,705,Entrance
CAM 1,1.3346666666666667,1564,428,Entrance
CAM 1,1.3346666666666667,1617,369,Entrance
CAM 1,1.3346666666666667,1070,370,Entrance
CAM 1,1.3346666666666667,505,368,Entrance
CAM 1,1.3346666666666667,665,355,Entrance
CAM 1,1.3346666666666667,1275,356,Entrance
CAM 1,1.3346666666666667,781,341,Entrance
CAM 1,1.3346666666666667,1839,369,Entrance
CAM 1,1.3346666666666667,1502,344,Entrance
CAM 1,1.3346666666666667,1617,244,Entrance
CAM 1,1.3346666666666667,1155,231,Entrance
CAM 1,1.3346666666666667,1086,241,Entrance
CAM 1,1.3346666666666667,1535,234,Entrance
CAM 1,1.3346666666666667,1369,238,Entrance
CAM 1,1.3346666666666667,1787,228,Entrance
CAM 1,1.3346666666666667,1704,230,Entrance
CAM 1,1.3346666666666667,1210,227,Entrance
CAM 1,1.3346666666666667,1834,85,Entrance
CAM 1,1.3346666666666667,1200,27,Entrance
CAM 1,1.5015,1263,1031,Entrance
CAM 1,1.5015,1667,1024,Entrance
CAM 1,1.5015,1733,1039,Entrance
CAM 1,1.5015,447,1024,Entrance
CAM 1,1.5015,1903,891,Entrance
CAM 1,1.5015,467,894,Entrance
CAM 1,1.5015,598,692,Entrance
CAM 1,1.5015,1876,684,Entrance
CAM 1,1.5015,32,681,Entrance
CAM 1,1.5015,202,687,Entrance
CAM 1,1.5015,1185,691,Entrance
CAM 1,1.5015,1389,557,Entrance
CAM 1,1.5015,1262,562,Entrance
CAM 1,1.5015,621,562,Entrance
CAM 1,1.5015,761,543,Entrance
CAM 1,1.5015,1383,536,Entrance
CAM 1,1.5015,1891,540,Entrance
CAM 1,1.5015,213,552,Entrance
CAM 1,1.5015,1591,542,Entrance
CAM 1,1.5015,913,706,Entrance
CAM 1,1.5015,1565,428,Entrance
CAM 1,1.5015,1070,370,Entrance
CAM 1,1.5015,283,365,Entrance
CAM 1,1.5015,554,361,Entrance
CAM 1,1.5015,823,338,Entrance
CAM 1,1.5015,1837,366,Entrance
CAM 1,1.5015,1343,344,Entrance
CAM 1,1.5015,1648,241,Entrance
CAM 1,1.5015,1152,231,Entrance
CAM 1,1.5015,1610,237,Entrance
CAM 1,1.5015,1086,239,Entrance
CAM 1,1.5015,1535,234,Entrance
CAM 1,1.5015,1786,225,Entrance
CAM 1,1.5015,1372,230,Entrance
CAM 1,1.5015,1705,226,Entrance
CAM 1,1.5015,1211,214,Entrance
CAM 1,1.5015,1833,82,Entrance
CAM 1,1.5015,1207,28,Entrance
CAM 1,1.6683333333333334,1723,1047,Entrance
CAM 1,1.6683333333333334,1909,1025,Entrance
CAM 1,1.6683333333333334,1264,1026,Entrance
CAM 1,1.6683333333333334,1636,1020,Entrance
CAM 1,1.6683333333333334,447,1022,Entrance
CAM 1,1.6683333333333334,1289,894,Entrance
CAM 1,1.6683333333333334,1186,883,Entrance
CAM 1,1.6683333333333334,1051,873,Entrance
CAM 1,1.6683333333333334,1871,882,Entrance
CAM 1,1.6683333333333334,465,885,Entrance
CAM 1,1.6683333333333334,1525,822,Entrance
CAM 1,1.6683333333333334,445,691,Entrance
CAM 1,1.6683333333333334,1667,676,Entrance
CAM 1,1.6683333333333334,1714,676,Entrance
CAM 1,1.6683333333333334,1875,684,Entrance
CAM 1,1.6683333333333334,598,689,Entrance
CAM 1,1.6683333333333334,33,679,Entrance
CAM 1,1.6683333333333334,219,682,Entrance
CAM 1,1.6683333333333334,546,574,Entrance
CAM 1,1.6683333333333334,1264,561,Entrance
CAM 1,1.6683333333333334,642,558,Entrance
CAM 1,1.6683333333333334,1790,540,Entrance
CAM 1,1.6683333333333334,1395,544,Entrance
CAM 1,1.6683333333333334,1143,537,Entrance
CAM 1,1.6683333333333334,438,531,Entrance
CAM 1,1.6683333333333334,780,538,Entrance
CAM 1,1.6683333333333334,226,547,Entrance
CAM 1,1.6683333333333334,1888,531,Entrance
CAM 1,1.6683333333333334,1595,532,Entrance
CAM 1,1.6683333333333334,1034,707,Entrance
CAM 1,1.6683333333333334,1547,449,Entrance
CAM 1,1.6683333333333334,1604,373,Entrance
CAM 1,1.6683333333333334,1070,369,Entrance
CAM 1,1.6683333333333334,291,364,Entrance
CAM 1,1.6683333333333334,555,359,Entrance
CAM 1,1.6683333333333334,1837,364,Entrance
CAM 1,1.6683333333333334,866,335,Entrance
CAM 1,1.6683333333333334,1349,348,Entrance
CAM 1,1.6683333333333334,1647,241,Entrance
CAM 1,1.6683333333333334,1608,235,Entrance
CAM 1,1.6683333333333334,1111,233,Entrance
CAM 1,1.6683333333333334,1511,232,Entrance
CAM 1,1.6683333333333334,1349,225,Entrance
CAM 1,1.6683333333333334,1786,221,Entrance
CAM 1,1.6683333333333334,1707,217,Entrance
CAM 1,1.6683333333333334,1094,212,Entrance
CAM 1,1.6683333333333334,1833,82,Entrance
CAM 1,1.6683333333333334,1243,27,Entrance
CAM 1,1.8351666666666666,1271,1025,Entrance
CAM 1,1.8351666666666666,1910,1021,Entrance
CAM 1,1.8351666666666666,1749,1027,Entrance
CAM 1,1.8351666666666666,1619,1017,Entrance
CAM 1,1.8351666666666666,447,1018,Entrance
CAM 1,1.8351666666666666,1296,887,Entrance
CAM 1,1.8351666666666666,1186,881,Entrance
CAM 1,1.8351666666666666,1242,872,Entrance
CAM 1,1.8351666666666666,1848,876,Entrance
CAM 1,1.8351666666666666,1410,875,Entrance
CAM 1,1.8351666666666666,1580,860,Entrance
CAM 1,1.8351666666666666,464,878,Entrance
CAM 1,1.8351666666666666,1514,846,Entrance
CAM 1,1.8351666666666666,444,690,Entrance
CAM 1,1.8351666666666666,1668,675,Entrance
CAM 1,1.8351666666666666,1711,677,Entrance
CAM 1,1.8351666666666666,1876,684,Entrance
CAM 1,1.8351666666666666,599,685,Entrance
CAM 1,1.8351666666666666,34,676,Entrance
CAM 1,1.8351666666666666,237,679,Entrance
CAM 1,1.8351666666666666,549,572,Entrance
CAM 1,1.8351666666666666,1269,561,Entrance
CAM 1,1.8351666666666666,643,556,Entrance
CAM 1,1.8351666666666666,1245,533,Entrance
CAM 1,1.8351666666666666,1789,538,Entrance
CAM 1,1.8351666666666666,450,529,Entrance
CAM 1,1.8351666666666666,1402,540,Entrance
CAM 1,1.8351666666666666,1143,533,Entrance
CAM 1,1.8351666666666666,233,541,Entrance
CAM 1,1.8351666666666666,1888,527,Entrance
CAM 1,1.8351666666666666,1596,534,Entrance
CAM 1,1.8351666666666666,1029,707,Entrance
CAM 1,1.8351666666666666,1546,453,Entrance
CAM 1,1.8351666666666666,1626,373,Entrance
CAM 1,1.8351666666666666,1058,369,Entrance
CAM 1,1.8351666666666666,291,357,Entrance
CAM 1,1.8351666666666666,555,357,Entrance
CAM 1,1.8351666666666666,1836,358,Entrance
CAM 1,1.8351666666666666,1580,328,Entrance
CAM 1,1.8351666666666666,872,332,Entrance
CAM 1,1.8351666666666666,1352,352,Entrance
CAM 1,1.8351666666666666,1649,237,Entrance
CAM 1,1.8351666666666666,1608,230,Entrance
CAM 1,1.8351666666666666,1111,229,Entrance
CAM 1,1.8351666666666666,1511,227,Entrance
CAM 1,1.8351666666666666,1357,223,Entrance
CAM 1,1.8351666666666666,1787,216,Entrance
CAM 1,1.8351666666666666,1563,186,Entrance
CAM 1,1.8351666666666666,1154,209,Entrance
CAM 1,1.8351666666666666,1708,210,Entrance
CAM 1,1.8351666666666666,1833,82,Entrance
CAM 1,1.8351666666666666,1243,27,Entrance
CAM 1,2.0020000000000002,1276,1026,Entrance
CAM 1,2.0020000000000002,1900,1018,Entrance
CAM 1,2.0020000000000002,1750,1026,Entrance
CAM 1,2.0020000000000002,1626,1013,Entrance
CAM 1,2.0020000000000002,447,1014,Entrance
CAM 1,2.0020000000000002,1742,874,Entrance
CAM 1,2.0020000000000002,1246,870,Entrance
